method,sparsity,accuracy,f1,acc_drop,active_params,sparse_mb,infer_gpu_ms,pass
Unstructured,0.3,0.927,0.926955,0.0,16480528,62.8682,51.6789,True
Unstructured,0.5,0.9271,0.927055,-0.0001,11786986,44.9638,52.4675,True
Unstructured,0.7,0.9276,0.927558,-0.0006,7093444,27.0593,51.0397,True
Unstructured,0.8,0.9251,0.925042,0.0019,4746672,18.1071,75.7153,True
Unstructured,0.9,0.9094,0.909575,0.0176,2399901,9.1549,52.7288,True
Structured,0.1,0.9322,0.932104,-0.0002,21200808,80.8747,221.2131,True
Structured,0.2,0.931,0.930961,0.001,18852102,71.9151,51.4466,True
Structured,0.3,0.9313,0.931253,0.0007,16518729,63.014,299.1997,True
Structured,0.4,0.9227,0.922834,0.0093,14170023,54.0543,51.0766,True
Structured,0.5,0.8734,0.874671,0.0586,11797226,45.0028,195.7928,False
Magnitude,0.3,0.9321,0.931987,-0.0001,16480528,62.8682,51.0954,True
Magnitude,0.5,0.932,0.931878,0.0,11786986,44.9638,51.0497,True
Magnitude,0.7,0.9319,0.931752,0.0001,7093444,27.0593,106.0588,True
Magnitude,0.8,0.9276,0.927507,0.0044,4746672,18.1071,50.9577,True
Magnitude,0.9,0.8774,0.878868,0.0546,2399901,9.1549,50.8726,False
Movement,0.3,0.928,0.927868,0.004,15989963,60.9969,51.5753,True
Movement,0.5,0.9271,0.926943,0.0049,11786986,44.9638,1118.2021,True
Movement,0.7,0.9222,0.922136,0.0098,7093444,27.0593,50.9643,True
Movement,0.8,0.895,0.89551,0.037,4746673,18.1071,50.8915,False
Movement,0.9,0.5335,0.518966,0.3985,2399902,9.1549,194.095,False
Lottery Ticket,0.3,0.9321,0.931987,-0.0001,21905088,83.5613,193.9307,True
Lottery Ticket,0.5,0.9321,0.931987,-0.0001,20482960,78.1363,52.0958,True
Lottery Ticket,0.7,0.9321,0.931987,-0.0001,18498824,70.5674,249.047,True
Lottery Ticket,0.8,0.9321,0.931987,-0.0001,17062050,65.0866,256.5479,True
Lottery Ticket,0.9,0.9321,0.931987,-0.0001,14860255,56.6874,61.7101,True
Iterative,0.3,0.9321,0.931987,-0.0001,17008553,64.8825,51.0015,True
Iterative,0.5,0.9321,0.93198,-0.0001,12303423,46.9338,51.1446,True
Iterative,0.7,0.932,0.931851,0.0,7576341,28.9014,51.0572,True
Iterative,0.8,0.9283,0.928199,0.0037,4673322,17.8273,50.9289,True
Iterative,0.9,0.8838,0.885013,0.0482,2464900,9.4028,50.9205,False
One-Shot,0.3,0.9321,0.931987,-0.0001,16480528,62.8682,194.6976,True
One-Shot,0.5,0.932,0.931878,0.0,11786986,44.9638,206.405,True
One-Shot,0.7,0.9319,0.931752,0.0001,7093444,27.0593,163.2746,True
One-Shot,0.8,0.9276,0.927507,0.0044,4746672,18.1071,50.929,True
One-Shot,0.9,0.8774,0.878868,0.0546,2399901,9.1549,50.8833,False
